symbol,sources,coingecko_symbol,coingecko_id
$BANANA,DEX,banana,banana-gun
$NGP,DEX,ngp,ngp
$WIF,DEX,wif,dogwifhat
1INCH,DEX,1inch,1inch
1PIECE,DEX,1piece,1piece
2Z,DEX,2z,2z
3A,DEX,3a,3a
4,"CEX,DEX",4,4
9BIT,CEX,9bit,9bit
AAVE,"CEX,DEX",aave,aave
ADA,"CEX,DEX",ada,cardano
ADI,"CEX,DEX",adi,adi
ADS,DEX,ads,adshares
AERO,DEX,aero,aerodrome-finance
AFRD,CEX,afrd,afrd
AGB,DEX,agb,agb
AGT,CEX,agt,agt
AIFI,DEX,aifi,aifi
AIT,DEX,ait,ait
AIX,CEX,aix,aix
AIXBT,CEX,aixbt,aixbt
AKT,CEX,akt,akash-network
ALCH,DEX,alch,alchemist-ai
ALCX,DEX,alcx,alchemix
ALEO,CEX,aleo,aleo
ALGO,CEX,algo,algorand
ALICE,CEX,alice,my-neighbor-alice
ANB,DEX,anb,anb
ANKR,CEX,ankr,ankr
ANOME,CEX,anome,anome
AOP,DEX,aop,aop
APD,DEX,apd,apd
APR,CEX,apr,apr
APT,CEX,apt,aptos
APXUSD,DEX,apxusd,apxusd
ARB,CEX,arb,arbitrum
ARC,DEX,arc,arc
ARCSOL,CEX,arcsol,arcsol
ARIA,"CEX,DEX",aria,aria
ARK,DEX,ark,ark
ARKM,CEX,arkm,arkham
ARTX,"CEX,DEX",artx,artx
ARTY,CEX,arty,arty
ASTER,"CEX,DEX",aster,aster-2
ASTRAI,CEX,astrai,astrai
AT,DEX,at,at
ATA,CEX,ata,automata
ATH,CEX,ath,ath
ATLA,CEX,atla,atla
ATLBRY,CEX,atlbry,atlbry
ATM,DEX,atm,atm
ATOM,CEX,atom,cosmos
ATV,DEX,atv,atv
AUR,DEX,aur,aur
AUSD,DEX,ausd,ausd
AVAX,CEX,avax,avalanche-2
AXS,CEX,axs,axie-infinity
AZTEC,DEX,aztec,aztec
B,DEX,b,b
B18,DEX,b18,b18
B3,CEX,b3,b3
BABY,CEX,baby,baby
BABYDOGE,DEX,babydoge,baby-doge-coin
BAN,DEX,ban,ban
BARD,CEX,bard,bard
BAS,CEX,bas,bas
BASED,DEX,based,based
BBSOL,DEX,bbsol,bbsol
BCH,CEX,bch,bitcoin-cash
BDX,CEX,bdx,bdx
BEAM,DEX,beam,onbeam
BERT,CEX,bert,bert
BEST,CEX,best,best
BIO,CEX,bio,bio
BIRB,"CEX,DEX",birb,birb
BLUAI,CEX,bluai,bluai
BNB,"CEX,DEX",bnb,binancecoin
BNKR,"CEX,DEX",bnkr,bnkr
BNSOL,DEX,bnsol,bnsol
BNT,CEX,bnt,bancor
BOLD,DEX,bold,bold
BOME,DEX,bome,book-of-meme
BONK,"CEX,DEX",bonk,bonk
BORG,DEX,borg,borg
BR,CEX,br,br
BRETT,DEX,brett,brett
BROCCOLI,DEX,broccoli,broccoli
BSB,DEX,bsb,bsb
BSOL,DEX,bsol,bsol
BTC,CEX,btc,bitcoin
BTCB,DEX,btcb,binance-bitcoin
BTR,CEX,btr,btr
BTT,DEX,btt,bittorrent
BURN,DEX,burn,burn
BUSD,DEX,busd,busd
BUTTCOIN,DEX,buttcoin,buttcoin
BY,DEX,by,by
C,CEX,c,c
CAKE,"CEX,DEX",cake,pancakeswap-token
CARROT,CEX,carrot,carrot
CASH,DEX,cash,cash
CAT,DEX,cat,cat
CATI,CEX,cati,cati
CBBTC,DEX,cbbtc,coinbase-wrapped-btc
CBETH,DEX,cbeth,coinbase-wrapped-staked-eth
CBXRP,DEX,cbxrp,cbxrp
CC,CEX,cc,cc
CETUS,CEX,cetus,cetus
CFG,CEX,cfg,centrifuge
CFX,CEX,cfx,conflux-token
CHECK,DEX,check,check
CHEEMS,DEX,cheems,cheems
CHZ,CEX,chz,chiliz
CLANKER,DEX,clanker,clanker
CMC20,DEX,cmc20,cmc20
COAI,DEX,coai,coai
COINON,DEX,coinon,coinon
COMMON,CEX,common,common
CORN,CEX,corn,corn
CRCLON,DEX,crclon,crclon
CRCLX,DEX,crclx,crclx
CRO,CEX,cro,cronos
CRTR,"CEX,DEX",crtr,crtr
CRV,"CEX,DEX",crv,curve-dao-token
CRVUSD,DEX,crvusd,crvusd
CSPR,CEX,cspr,casper-network
CVX,DEX,cvx,convex-finance
